,job_title,salary_usd,experience_level,employment_type,company_location,remote_ratio,required_skills,salary_currency,education_required,years_experience,company_name
2400,Robotics Engineer,63544,EN,FT,Ireland,50,"Hadoop, GCP, Python, SQL, Mathematics",USD,Associate,1,Autonomous Tech
2401,AI Architect,76677,SE,FT,Austria,50,"Hadoop, MLOps, Git",USD,Master,7,Cognitive Computing
2402,Research Scientist,70814,MI,PT,United Kingdom,50,"Deep Learning, Azure, AWS, TensorFlow, Java",GBP,Master,3,Neural Networks Co
2403,AI Product Manager,68019,EN,FT,Sweden,0,"SQL, Kubernetes, GCP, Spark, MLOps",USD,Bachelor,1,Quantum Computing Inc
2404,ML Ops Engineer,86137,SE,CT,China,50,"Python, Kubernetes, NLP, Data Visualization",USD,Master,5,Quantum Computing Inc
2405,Machine Learning Researcher,169778,EX,FT,Singapore,0,"Python, Docker, Spark",USD,PhD,13,Autonomous Tech
2406,Head of AI,94557,SE,PT,Ireland,100,"Java, Azure, PyTorch",USD,Bachelor,5,Algorithmic Solutions
2407,Data Scientist,90678,MI,FL,France,50,"Deep Learning, Data Visualization, Tableau, TensorFlow, SQL",EUR,Bachelor,2,Predictive Systems
2408,AI Product Manager,43668,EN,FT,India,50,"Data Visualization, Tableau, Java, Spark",USD,Associate,1,Quantum Computing Inc
2409,Robotics Engineer,190051,EX,FL,France,100,"Kubernetes, Linux, Data Visualization, Hadoop, Statistics",EUR,Bachelor,15,Quantum Computing Inc
2410,Deep Learning Engineer,244334,EX,FL,Switzerland,100,"Scala, Azure, Data Visualization",USD,PhD,17,AI Innovations
2411,Deep Learning Engineer,99115,MI,FT,Germany,0,"Computer Vision, Spark, NLP, R, AWS",EUR,PhD,4,DeepTech Ventures
2412,AI Specialist,164229,EX,FT,Canada,50,"MLOps, Linux, Git, Scala, Data Visualization",USD,Associate,17,Neural Networks Co
2413,Data Analyst,215745,EX,FL,Switzerland,100,"Azure, Spark, R, Python",USD,Bachelor,18,TechCorp Inc
2414,AI Consultant,70179,EN,PT,Netherlands,100,"Computer Vision, Python, Tableau, NLP",EUR,PhD,1,Cloud AI Solutions
2415,NLP Engineer,182282,SE,CT,Switzerland,50,"Mathematics, Azure, Hadoop, Git, Kubernetes",USD,Bachelor,6,Algorithmic Solutions
2416,Head of AI,114242,SE,PT,United Kingdom,0,"Deep Learning, Data Visualization, Scala, PyTorch, MLOps",GBP,PhD,8,DeepTech Ventures
2417,Machine Learning Engineer,40934,EN,CT,Ireland,50,"MLOps, Docker, TensorFlow, Tableau, Spark",USD,Bachelor,0,Future Systems
2418,AI Architect,73307,SE,PT,Ireland,100,"Computer Vision, Statistics, Azure",USD,Associate,6,Smart Analytics
2419,AI Product Manager,197381,EX,FL,Ireland,100,"Tableau, TensorFlow, Python, SQL, NLP",USD,Associate,11,Autonomous Tech
2420,AI Architect,132511,EX,FL,India,0,"AWS, SQL, Linux, Deep Learning",USD,Master,15,Quantum Computing Inc
2421,Robotics Engineer,99209,SE,FT,China,100,"Java, Scala, PyTorch, Mathematics, Statistics",USD,Bachelor,8,Quantum Computing Inc
2422,NLP Engineer,123831,SE,PT,Israel,50,"SQL, AWS, MLOps",USD,PhD,7,Quantum Computing Inc
2423,Machine Learning Researcher,133611,EX,PT,Ireland,0,"Git, Computer Vision, Python, Kubernetes, Docker",USD,Master,11,Cognitive Computing
2424,AI Software Engineer,87776,EN,FT,Switzerland,100,"GCP, Git, Tableau, Python",USD,Bachelor,1,Future Systems
2425,AI Consultant,64857,EN,CT,Germany,50,"GCP, Hadoop, Deep Learning, Kubernetes",EUR,Associate,1,Neural Networks Co
2426,Data Analyst,200903,EX,FT,France,0,"Azure, GCP, MLOps, NLP, Mathematics",EUR,Master,10,Machine Intelligence Group
2427,AI Software Engineer,100012,SE,FL,Canada,0,"Linux, PyTorch, Computer Vision, TensorFlow, R",USD,Associate,7,Algorithmic Solutions
2428,Data Analyst,69033,MI,CT,Japan,50,"Statistics, MLOps, Kubernetes, Linux",USD,Bachelor,2,DataVision Ltd
2429,ML Ops Engineer,84164,SE,FL,Japan,100,"Java, R, NLP, Docker, Computer Vision",USD,Associate,7,Advanced Robotics
2430,Computer Vision Engineer,58911,MI,FT,Finland,100,"NLP, Deep Learning, Scala, Azure, PyTorch",USD,Associate,2,AI Innovations
2431,Autonomous Systems Engineer,51367,EN,FT,Australia,50,"Mathematics, Azure, GCP, AWS",USD,Bachelor,1,Neural Networks Co
2432,Head of AI,96305,SE,FT,Ireland,50,"Git, Linux, Tableau, MLOps",USD,Master,6,Neural Networks Co
2433,Computer Vision Engineer,106796,SE,FT,Sweden,0,"PyTorch, Data Visualization, TensorFlow, Mathematics",USD,PhD,9,AI Innovations
2434,AI Architect,78997,EN,PT,Norway,50,"PyTorch, GCP, Spark, Kubernetes",USD,PhD,0,Predictive Systems
2435,Deep Learning Engineer,94628,SE,PT,Austria,100,"Tableau, Kubernetes, PyTorch, Git, AWS",USD,Bachelor,9,Autonomous Tech
2436,Head of AI,86545,EN,PT,Switzerland,50,"PyTorch, TensorFlow, Spark, Azure, Git",USD,PhD,1,Neural Networks Co
2437,NLP Engineer,120794,MI,CT,Norway,100,"Docker, Computer Vision, Data Visualization, SQL, Git",USD,Bachelor,4,Predictive Systems
2438,ML Ops Engineer,80020,SE,PT,Japan,50,"Computer Vision, MLOps, Hadoop",USD,Master,8,Future Systems
2439,Autonomous Systems Engineer,125199,SE,PT,United Kingdom,100,"Deep Learning, Git, Docker",GBP,Master,9,Predictive Systems
2440,Computer Vision Engineer,133865,SE,PT,Norway,0,"Hadoop, Python, Spark, SQL, Kubernetes",USD,PhD,8,DeepTech Ventures
2441,AI Architect,66156,EN,FT,United Kingdom,0,"Computer Vision, Kubernetes, AWS",GBP,Associate,1,Cognitive Computing
2442,AI Specialist,113010,MI,FL,Canada,0,"SQL, Azure, Statistics, MLOps",USD,Master,2,Digital Transformation LLC
2443,Computer Vision Engineer,221947,EX,FT,United Kingdom,50,"Python, Hadoop, Deep Learning, Kubernetes",GBP,PhD,15,Algorithmic Solutions
2444,Data Scientist,55748,EN,FT,Finland,50,"TensorFlow, Mathematics, Scala",USD,Master,1,Smart Analytics
2445,AI Software Engineer,101396,MI,FT,Australia,100,"Hadoop, GCP, Azure, Scala",USD,PhD,4,Predictive Systems
2446,Computer Vision Engineer,92073,SE,FL,South Korea,50,"Statistics, Computer Vision, Deep Learning",USD,Bachelor,6,Predictive Systems
2447,Data Engineer,42538,EN,CT,South Korea,50,"Kubernetes, Python, NLP, GCP, Azure",USD,Bachelor,0,Digital Transformation LLC
2448,Autonomous Systems Engineer,145351,EX,PT,Germany,0,"Tableau, PyTorch, Linux",EUR,PhD,11,DataVision Ltd
2449,Data Scientist,135839,SE,FT,Sweden,0,"Hadoop, Linux, MLOps, Statistics",USD,PhD,8,Algorithmic Solutions
2450,NLP Engineer,86044,SE,CT,India,0,"TensorFlow, Git, SQL",USD,Associate,6,Digital Transformation LLC
2451,Machine Learning Engineer,49748,MI,CT,India,0,"MLOps, Python, Scala, Docker",USD,Associate,2,Algorithmic Solutions
2452,AI Architect,48467,EN,FL,Israel,50,"Computer Vision, Mathematics, Scala, Java",USD,Master,0,TechCorp Inc
2453,Data Scientist,113962,SE,FT,Canada,0,"Computer Vision, Scala, Python",USD,Bachelor,7,Cloud AI Solutions
2454,Robotics Engineer,42619,EN,PT,Ireland,100,"PyTorch, Git, Computer Vision, Spark",USD,Master,0,DataVision Ltd
2455,Deep Learning Engineer,45111,EN,FT,China,100,"Computer Vision, Linux, MLOps, Git",USD,Associate,1,Cloud AI Solutions
2456,AI Architect,113326,EX,FT,China,100,"R, MLOps, Tableau, SQL",USD,Master,18,Cognitive Computing
2457,AI Product Manager,318069,EX,CT,Denmark,100,"Git, Tableau, Mathematics",USD,Bachelor,19,Advanced Robotics
2458,AI Consultant,176768,EX,CT,Denmark,0,"Deep Learning, Azure, Python, GCP",USD,Associate,13,Advanced Robotics
2459,Head of AI,296701,EX,CT,Norway,100,"Git, Scala, Kubernetes, R, Statistics",USD,Bachelor,11,Advanced Robotics
2460,NLP Engineer,97351,SE,CT,Finland,0,"Git, PyTorch, Statistics, Deep Learning, TensorFlow",USD,Associate,7,Digital Transformation LLC
2461,Deep Learning Engineer,68679,EN,FT,Netherlands,0,"Kubernetes, Spark, Scala, Java",EUR,PhD,1,Machine Intelligence Group
2462,Data Engineer,113896,SE,FL,Ireland,0,"AWS, SQL, Git, Data Visualization",USD,PhD,5,Digital Transformation LLC
2463,AI Specialist,186024,SE,PT,United Kingdom,50,"NLP, Kubernetes, Linux, Deep Learning",GBP,Bachelor,7,Predictive Systems
2464,ML Ops Engineer,295104,EX,CT,Switzerland,100,"Python, Java, Deep Learning",USD,Bachelor,18,Cognitive Computing
2465,Autonomous Systems Engineer,132942,MI,FL,Singapore,100,"Java, R, Docker",USD,Bachelor,3,Quantum Computing Inc
2466,AI Specialist,192117,SE,CT,Norway,50,"Computer Vision, Docker, Mathematics, Deep Learning, Java",USD,Associate,8,AI Innovations
2467,AI Specialist,127888,SE,FT,Germany,100,"Spark, Scala, Kubernetes",EUR,Associate,6,Predictive Systems
2468,AI Software Engineer,68707,MI,FL,Japan,50,"SQL, MLOps, TensorFlow",USD,Associate,2,Smart Analytics
2469,AI Software Engineer,206000,EX,CT,Netherlands,0,"NLP, Azure, Spark, GCP",EUR,PhD,10,TechCorp Inc
2470,ML Ops Engineer,44413,EN,PT,China,100,"TensorFlow, Computer Vision, Python, Java",USD,Bachelor,0,Algorithmic Solutions
2471,Machine Learning Engineer,146531,SE,FT,United States,0,"PyTorch, Git, Mathematics, Scala, Hadoop",USD,Bachelor,6,Cloud AI Solutions
2472,NLP Engineer,161847,SE,CT,Canada,100,"Python, Tableau, Linux, TensorFlow",USD,Master,6,Cloud AI Solutions
2473,Machine Learning Researcher,130312,EX,FT,Japan,100,"Hadoop, Docker, Tableau, MLOps",USD,PhD,17,Digital Transformation LLC
2474,Head of AI,82994,EN,PT,Switzerland,100,"AWS, Spark, Hadoop, SQL",USD,PhD,1,Digital Transformation LLC
2475,AI Consultant,98817,SE,FL,Australia,0,"AWS, Statistics, SQL, Computer Vision, Tableau",USD,Master,7,Neural Networks Co
2476,AI Product Manager,91215,EN,FT,Germany,0,"AWS, Hadoop, Tableau",EUR,PhD,0,Advanced Robotics
2477,Head of AI,93562,MI,FL,Singapore,100,"Docker, NLP, Scala, Python",USD,Master,2,Machine Intelligence Group
2478,Research Scientist,77742,MI,FL,United Kingdom,100,"Statistics, Java, R, Spark",GBP,Master,2,AI Innovations
2479,Machine Learning Researcher,129913,SE,PT,Netherlands,0,"Docker, Spark, Computer Vision",EUR,Associate,5,Cognitive Computing
2480,AI Architect,146369,SE,PT,Australia,50,"Deep Learning, Azure, R, Linux",USD,Master,8,Autonomous Tech
2481,Autonomous Systems Engineer,52050,EN,CT,Canada,50,"Java, SQL, Mathematics, Docker, Computer Vision",USD,Bachelor,1,Smart Analytics
2482,Robotics Engineer,80482,MI,FL,United Kingdom,50,"Hadoop, NLP, Docker, Tableau, Scala",GBP,Bachelor,2,AI Innovations
2483,ML Ops Engineer,50111,EN,CT,Germany,0,"Kubernetes, GCP, NLP",EUR,Associate,1,Cloud AI Solutions
2484,AI Specialist,168007,SE,CT,Denmark,0,"Python, Git, PyTorch",USD,Bachelor,9,Cloud AI Solutions
2485,Robotics Engineer,148874,EX,PT,Austria,0,"Computer Vision, MLOps, Scala, Java, R",USD,PhD,18,AI Innovations
2486,Principal Data Scientist,125520,EX,PT,Japan,0,"Hadoop, Git, Data Visualization, Spark",USD,Bachelor,13,Neural Networks Co
2487,Deep Learning Engineer,109078,MI,PT,Netherlands,100,"Hadoop, Azure, Python, Linux",EUR,Associate,4,Cloud AI Solutions
2488,NLP Engineer,125016,MI,FL,Norway,50,"MLOps, Git, Linux, GCP",USD,Master,3,AI Innovations
2489,Deep Learning Engineer,105437,SE,CT,France,50,"Java, Linux, Spark, Python",EUR,PhD,5,Cognitive Computing
2490,AI Consultant,106673,SE,CT,India,0,"Data Visualization, MLOps, TensorFlow, Kubernetes",USD,Associate,8,DeepTech Ventures
2491,Data Engineer,79925,SE,PT,Austria,100,"Computer Vision, Tableau, Linux",USD,Associate,5,AI Innovations
2492,Deep Learning Engineer,165167,EX,CT,Japan,50,"Spark, SQL, Tableau",USD,Master,19,Predictive Systems
2493,Deep Learning Engineer,94098,MI,CT,Netherlands,100,"GCP, Git, Spark",EUR,PhD,4,Cloud AI Solutions
2494,Autonomous Systems Engineer,95635,EN,PT,Singapore,100,"Computer Vision, Scala, Kubernetes, Python",USD,Master,1,Digital Transformation LLC
2495,Data Engineer,129595,SE,PT,Sweden,50,"Kubernetes, TensorFlow, Computer Vision",USD,Master,9,Autonomous Tech
2496,Data Scientist,127926,EX,CT,Canada,100,"Scala, TensorFlow, SQL",USD,PhD,19,Neural Networks Co
2497,Data Engineer,249105,EX,CT,Switzerland,50,"SQL, MLOps, Java, NLP",USD,PhD,10,Digital Transformation LLC
2498,Robotics Engineer,149063,EX,FL,Finland,50,"NLP, Python, Linux, Kubernetes",USD,Associate,18,Cognitive Computing
2499,Machine Learning Engineer,87043,SE,FT,Japan,0,"SQL, Azure, TensorFlow",USD,Bachelor,9,TechCorp Inc
2500,Data Engineer,40107,EN,PT,India,100,"Mathematics, MLOps, Python, GCP",USD,Associate,0,Neural Networks Co
2501,Deep Learning Engineer,89272,SE,PT,India,0,"Kubernetes, TensorFlow, Java, Python, Statistics",USD,Associate,9,Future Systems
2502,Robotics Engineer,251105,EX,FL,France,100,"PyTorch, Git, Data Visualization, Linux, Deep Learning",EUR,Bachelor,13,Algorithmic Solutions
2503,NLP Engineer,60168,EN,PT,Germany,50,"Kubernetes, R, Data Visualization, Statistics, Scala",EUR,Bachelor,0,Cloud AI Solutions
2504,AI Architect,165520,SE,FL,Netherlands,0,"Scala, SQL, Tableau, Spark",EUR,Master,5,DeepTech Ventures
2505,Data Engineer,144698,EX,CT,Israel,0,"Python, GCP, Data Visualization, Kubernetes",USD,Master,18,Quantum Computing Inc
2506,Deep Learning Engineer,49360,MI,FL,India,100,"Data Visualization, Hadoop, Kubernetes, Spark",USD,PhD,3,Advanced Robotics
2507,Data Engineer,134875,SE,FT,Sweden,0,"Git, Python, GCP, Computer Vision, TensorFlow",USD,Bachelor,7,Algorithmic Solutions
2508,AI Product Manager,171537,EX,FL,Singapore,0,"Linux, Computer Vision, Git, Kubernetes, Scala",USD,Bachelor,13,TechCorp Inc
2509,Research Scientist,68504,MI,PT,Israel,0,"Docker, Kubernetes, Hadoop, Scala",USD,Bachelor,2,Neural Networks Co
2510,AI Architect,125244,EX,PT,Austria,100,"Python, Scala, Kubernetes",USD,Associate,14,Quantum Computing Inc
2511,ML Ops Engineer,37731,EN,FT,Japan,100,"Git, AWS, Statistics",USD,Master,0,Future Systems
2512,Head of AI,112455,EX,FL,Finland,0,"Scala, Python, AWS, Mathematics",USD,Associate,16,Cognitive Computing
2513,Computer Vision Engineer,57887,MI,FL,Finland,0,"SQL, Computer Vision, AWS, PyTorch",USD,Master,2,DeepTech Ventures
2514,Data Engineer,134413,EX,FT,Israel,100,"Data Visualization, Python, TensorFlow, Git, Docker",USD,Bachelor,15,Machine Intelligence Group
2515,Data Analyst,39217,EN,PT,Austria,0,"Linux, Python, Deep Learning, Computer Vision",USD,Master,1,Quantum Computing Inc
2516,ML Ops Engineer,212575,EX,FL,Switzerland,50,"PyTorch, Git, Tableau",USD,Associate,12,Autonomous Tech
2517,Data Analyst,221652,EX,FT,Australia,50,"TensorFlow, NLP, SQL, R, Deep Learning",USD,Bachelor,19,Smart Analytics
2518,Principal Data Scientist,125416,SE,FT,Germany,0,"Python, Git, Data Visualization, Docker, AWS",EUR,PhD,6,Smart Analytics
2519,Principal Data Scientist,50961,EN,PT,China,100,"R, AWS, Linux, Tableau",USD,Associate,0,DataVision Ltd
2520,Principal Data Scientist,126464,MI,FT,Denmark,100,"Python, GCP, Spark, Deep Learning",USD,Master,4,Digital Transformation LLC
2521,Autonomous Systems Engineer,158311,SE,CT,United Kingdom,50,"Linux, Statistics, Scala, Computer Vision",GBP,Master,5,Neural Networks Co
2522,Data Scientist,91196,SE,FT,Austria,100,"NLP, Scala, TensorFlow, GCP",USD,PhD,7,Autonomous Tech
2523,Data Analyst,95678,SE,FT,Israel,0,"Azure, Spark, Hadoop, Mathematics",USD,Bachelor,5,Cognitive Computing
2524,AI Architect,84512,MI,FL,United Kingdom,100,"SQL, Mathematics, Git, Python",GBP,Associate,2,AI Innovations
2525,Deep Learning Engineer,115485,EX,FT,China,100,"Hadoop, Linux, Git",USD,Associate,18,Cognitive Computing
2526,Machine Learning Engineer,108846,MI,FL,Netherlands,50,"Git, NLP, Scala, Statistics",EUR,Master,2,Machine Intelligence Group
2527,Autonomous Systems Engineer,73838,EN,CT,Singapore,50,"Hadoop, SQL, Kubernetes",USD,PhD,0,Cloud AI Solutions
2528,AI Research Scientist,49600,EN,FL,Israel,0,"GCP, TensorFlow, Azure, Java, Python",USD,Bachelor,1,Predictive Systems
2529,Head of AI,219397,EX,PT,Sweden,100,"MLOps, TensorFlow, Deep Learning",USD,Master,15,DataVision Ltd
2530,Data Engineer,121792,MI,FT,Denmark,100,"Python, SQL, Computer Vision",USD,Bachelor,3,Cloud AI Solutions
2531,NLP Engineer,82511,EN,FL,Switzerland,0,"Scala, Tableau, Spark, SQL, Data Visualization",USD,Master,0,Digital Transformation LLC
2532,AI Specialist,55779,MI,FL,Israel,100,"Java, Linux, Kubernetes",USD,Associate,3,AI Innovations
2533,Machine Learning Engineer,231259,SE,PT,Switzerland,0,"TensorFlow, PyTorch, Hadoop, Mathematics",USD,PhD,8,DeepTech Ventures
2534,Machine Learning Researcher,107206,MI,PT,United States,0,"Kubernetes, Python, Java",USD,PhD,2,Algorithmic Solutions
2535,AI Research Scientist,132308,MI,FT,Switzerland,50,"PyTorch, SQL, Statistics, R, Azure",USD,Master,3,Cognitive Computing
2536,Head of AI,115614,MI,CT,France,0,"PyTorch, Python, Kubernetes",EUR,Associate,2,Advanced Robotics
2537,Deep Learning Engineer,56556,MI,FL,China,100,"Kubernetes, PyTorch, Azure",USD,Master,2,Smart Analytics
2538,AI Software Engineer,133845,MI,FT,Switzerland,100,"GCP, Docker, MLOps, SQL",USD,Associate,2,Cognitive Computing
2539,Robotics Engineer,63270,MI,CT,China,50,"Git, Kubernetes, PyTorch",USD,Associate,2,Cloud AI Solutions
2540,ML Ops Engineer,60182,EN,FT,Sweden,0,"Computer Vision, Scala, PyTorch, SQL, R",USD,Master,1,Neural Networks Co
2541,Autonomous Systems Engineer,146455,SE,FT,Canada,50,"Statistics, Java, PyTorch, Kubernetes, Linux",USD,Bachelor,6,Machine Intelligence Group
2542,Autonomous Systems Engineer,80143,MI,FT,Finland,100,"Data Visualization, Scala, Mathematics, GCP, Kubernetes",USD,Associate,2,Predictive Systems
2543,Machine Learning Researcher,88409,SE,FT,China,100,"Statistics, Scala, Python, Java",USD,PhD,5,Neural Networks Co
2544,Data Scientist,91286,MI,FT,United States,50,"Statistics, TensorFlow, Python",USD,Bachelor,2,Smart Analytics
2545,AI Specialist,66853,MI,PT,Ireland,100,"Docker, AWS, R, Scala",USD,Associate,3,Digital Transformation LLC
2546,NLP Engineer,235002,EX,FL,United Kingdom,50,"Deep Learning, GCP, Java, Statistics",GBP,PhD,16,TechCorp Inc
2547,Robotics Engineer,263846,EX,FT,United States,0,"Azure, TensorFlow, Docker",USD,Bachelor,11,AI Innovations
2548,Deep Learning Engineer,225540,EX,CT,Netherlands,50,"Docker, Computer Vision, MLOps",EUR,Associate,16,DeepTech Ventures
2549,NLP Engineer,79818,SE,FL,South Korea,50,"Data Visualization, PyTorch, NLP, Docker",USD,Associate,5,Digital Transformation LLC
2550,AI Architect,170902,SE,FT,Denmark,100,"Azure, GCP, Python",USD,Associate,5,Future Systems
2551,AI Software Engineer,83328,MI,PT,France,100,"GCP, NLP, Python, Git",EUR,Associate,3,TechCorp Inc
2552,Principal Data Scientist,117262,SE,FL,Netherlands,100,"AWS, GCP, TensorFlow",EUR,Master,6,TechCorp Inc
2553,Head of AI,48677,EN,FT,China,0,"Python, Git, AWS",USD,PhD,1,AI Innovations
2554,Computer Vision Engineer,104123,EN,PT,Norway,50,"Hadoop, Python, GCP",USD,PhD,0,AI Innovations
2555,AI Specialist,147204,SE,PT,Norway,100,"Tableau, Docker, Computer Vision, Scala",USD,Bachelor,7,Digital Transformation LLC
2556,Machine Learning Researcher,102923,SE,FL,Germany,100,"Azure, Docker, SQL",EUR,Bachelor,5,Predictive Systems
2557,AI Architect,72782,EN,CT,Germany,50,"MLOps, Azure, Linux, Deep Learning, Python",EUR,Bachelor,1,Cognitive Computing
2558,Autonomous Systems Engineer,142410,SE,FT,Norway,0,"Computer Vision, NLP, Tableau, Hadoop, Scala",USD,Associate,7,Advanced Robotics
2559,Computer Vision Engineer,81908,MI,CT,Sweden,0,"Azure, Kubernetes, SQL, AWS, Git",USD,PhD,4,AI Innovations
2560,Head of AI,342272,EX,PT,United States,50,"Hadoop, Azure, NLP, Mathematics, GCP",USD,Bachelor,18,Neural Networks Co
2561,Computer Vision Engineer,109837,EN,CT,Norway,50,"Docker, NLP, Computer Vision, MLOps",USD,Master,0,Algorithmic Solutions
2562,AI Specialist,149456,EX,PT,India,0,"Python, Hadoop, R, MLOps, Tableau",USD,PhD,16,TechCorp Inc
2563,Computer Vision Engineer,117557,SE,CT,Japan,100,"Tableau, Git, SQL, PyTorch, Python",USD,Master,8,Cloud AI Solutions
2564,ML Ops Engineer,51713,MI,FT,Finland,0,"Python, Mathematics, Scala",USD,Bachelor,2,DeepTech Ventures
2565,AI Research Scientist,173830,EX,FT,Canada,100,"R, Statistics, Hadoop",USD,Bachelor,15,Future Systems
2566,Head of AI,146710,MI,PT,Switzerland,100,"Docker, Deep Learning, Python, AWS",USD,Associate,2,Machine Intelligence Group
2567,Machine Learning Engineer,129360,SE,FL,Germany,0,"Python, Kubernetes, Spark",EUR,Associate,8,Digital Transformation LLC
2568,AI Consultant,186452,SE,PT,Switzerland,100,"GCP, Kubernetes, R",USD,Master,5,Quantum Computing Inc
2569,Deep Learning Engineer,102026,SE,FL,Israel,100,"Data Visualization, Deep Learning, Tableau, Java, Computer Vision",USD,Bachelor,5,Future Systems
2570,AI Research Scientist,94728,EN,CT,Switzerland,0,"Computer Vision, R, Statistics, SQL",USD,PhD,1,Digital Transformation LLC
2571,AI Product Manager,70810,EN,CT,United Kingdom,0,"Docker, Kubernetes, Scala, MLOps, Java",GBP,Master,1,Machine Intelligence Group
2572,Robotics Engineer,170717,SE,CT,United States,50,"MLOps, Scala, Deep Learning, GCP, NLP",USD,PhD,6,Autonomous Tech
2573,Principal Data Scientist,86822,SE,FT,Canada,50,"AWS, Scala, Tableau, Deep Learning, Computer Vision",USD,PhD,9,Digital Transformation LLC
2574,AI Consultant,52590,MI,PT,China,100,"SQL, Spark, PyTorch",USD,Associate,4,TechCorp Inc
2575,Principal Data Scientist,228064,SE,CT,Switzerland,50,"Tableau, PyTorch, Scala, Data Visualization",USD,PhD,6,Neural Networks Co
2576,NLP Engineer,116403,SE,FT,India,100,"Deep Learning, SQL, Mathematics, Azure",USD,Associate,6,Smart Analytics
2577,Data Engineer,176004,EX,FT,Israel,0,"Spark, Git, Tableau, Docker, Linux",USD,Associate,14,Cognitive Computing
2578,Research Scientist,303380,EX,FT,Singapore,50,"Deep Learning, Python, R, Mathematics, GCP",USD,PhD,17,AI Innovations
2579,AI Specialist,76208,MI,FL,Ireland,0,"Tableau, AWS, Java",USD,Master,2,Machine Intelligence Group
2580,AI Product Manager,191421,EX,FT,France,100,"Scala, Java, Spark",EUR,Associate,11,Cloud AI Solutions
2581,AI Architect,147595,EX,FL,Australia,0,"PyTorch, Deep Learning, NLP",USD,Associate,16,Future Systems
2582,Machine Learning Engineer,38418,EN,CT,India,50,"Hadoop, Kubernetes, Java",USD,Associate,0,TechCorp Inc
2583,AI Specialist,100150,MI,FT,United States,0,"Python, Docker, Hadoop, Linux, TensorFlow",USD,Associate,4,Future Systems
2584,Research Scientist,196014,EX,FT,Australia,0,"Kubernetes, Scala, Data Visualization, Git, Python",USD,PhD,12,AI Innovations
2585,Computer Vision Engineer,209255,EX,CT,Australia,50,"Python, Spark, Tableau, Linux, TensorFlow",USD,PhD,18,Neural Networks Co
2586,Data Engineer,143661,EX,CT,United Kingdom,0,"Hadoop, Java, TensorFlow, Git, Python",GBP,PhD,15,Digital Transformation LLC
2587,NLP Engineer,126932,SE,CT,Netherlands,100,"Java, Scala, Hadoop",EUR,Bachelor,7,DeepTech Ventures
2588,Head of AI,54884,EN,PT,South Korea,0,"Python, AWS, Statistics, Linux",USD,PhD,1,Autonomous Tech
2589,Data Engineer,69080,SE,FT,Israel,0,"Docker, Hadoop, Tableau, Computer Vision",USD,Associate,9,Neural Networks Co
2590,AI Architect,192116,SE,CT,Denmark,100,"TensorFlow, Hadoop, Git, Linux, SQL",USD,PhD,7,Cloud AI Solutions
2591,ML Ops Engineer,192067,EX,FL,Australia,50,"Linux, Deep Learning, Kubernetes, Git, GCP",USD,Associate,19,Autonomous Tech
2592,Data Engineer,129484,EX,FL,India,50,"Linux, SQL, NLP",USD,Master,17,DataVision Ltd
2593,Machine Learning Researcher,50180,EN,PT,China,100,"Kubernetes, Python, TensorFlow, AWS, Azure",USD,Bachelor,1,Smart Analytics
2594,Data Analyst,202409,EX,FL,Netherlands,0,"Mathematics, Docker, MLOps",EUR,Master,18,Digital Transformation LLC
2595,Data Engineer,94744,EX,CT,Austria,50,"Python, TensorFlow, PyTorch, Hadoop, Scala",USD,Associate,15,Autonomous Tech
2596,AI Architect,99823,EN,CT,Switzerland,100,"Tableau, Git, R, Data Visualization",USD,Bachelor,0,Algorithmic Solutions
2597,Data Analyst,160673,EX,CT,South Korea,50,"Spark, Docker, Scala",USD,PhD,10,DataVision Ltd
2598,Research Scientist,70034,SE,CT,Israel,0,"Tableau, AWS, Hadoop",USD,Bachelor,7,Predictive Systems
2599,Data Analyst,110885,MI,FL,Sweden,50,"Tableau, Spark, Scala",USD,Master,4,Smart Analytics
2600,Machine Learning Researcher,141091,EX,PT,Finland,0,"Java, Python, Hadoop, Azure",USD,Master,13,Algorithmic Solutions
2601,Data Scientist,97982,EX,PT,Austria,100,"Scala, Linux, Spark, Git",USD,Associate,15,Autonomous Tech
2602,AI Software Engineer,286929,EX,CT,Sweden,50,"Git, AWS, Tableau",USD,Bachelor,19,Predictive Systems
2603,Robotics Engineer,112031,MI,FL,Denmark,50,"R, PyTorch, Mathematics",USD,Associate,2,DataVision Ltd
2604,Machine Learning Engineer,280691,EX,FT,Sweden,50,"PyTorch, SQL, GCP",USD,Associate,18,Neural Networks Co
2605,Data Engineer,119490,MI,CT,United States,0,"Deep Learning, Python, R, Statistics",USD,PhD,3,Smart Analytics
2606,Machine Learning Engineer,67205,SE,FT,Ireland,0,"Azure, Deep Learning, Python, Tableau, Statistics",USD,Associate,7,Cognitive Computing
2607,Deep Learning Engineer,109943,MI,FT,Norway,50,"PyTorch, TensorFlow, Linux, Python",USD,Associate,4,Advanced Robotics
2608,Head of AI,153425,EX,PT,United Kingdom,100,"Spark, R, Python, Docker",GBP,Bachelor,19,Neural Networks Co
2609,Data Engineer,66780,MI,FL,Israel,50,"SQL, Git, Data Visualization",USD,Associate,2,Machine Intelligence Group
2610,AI Consultant,134824,SE,PT,Germany,0,"Scala, Data Visualization, Java",EUR,PhD,9,Neural Networks Co
2611,Deep Learning Engineer,132780,SE,CT,Germany,50,"Python, Kubernetes, Computer Vision, Azure, TensorFlow",EUR,Master,7,TechCorp Inc
